Student | Kvdjg | F | 1978/2/29 | SGN 1073 FRTOQC | 10-6-501 | COMPUTER SCIENCE | 2
Student | Etmfo | M | 1966/1/20 | BIN 632 RXFPYC | 9-1-791 | COMPUTER SCIENCE | 3
Student | Pxghs | F | 1986/7/1 | FWE 912 IEFPCM | 9-1-535 | COMPUTER SCIENCE | 5
Student | Dgwul | F | 1988/2/30 | VSX 825 EJJTJG | 7-10-606 | COMPUTER SCIENCE | 2
Student | Ioxhn | F | 1968/8/29 | JXS 211 VBLDIU | 7-2-183 | COMPUTER SCIENCE | 1
Student | Vsqeb | F | 1997/11/25 | HXA 333 HBXSIA | 2-4-521 | COMPUTER SCIENCE | 3
Student | Ipxcx | M | 1986/5/5 | JSH 584 OQFAOW | 6-9-990 | COMPUTER SCIENCE | 4
Student | Paynp | F | 1978/2/4 | LLM 704 TGSJQI | 2-1-153 | COMPUTER SCIENCE | 2
Student | Rcljm | M | 1967/2/2 | AQA 652 ZUTYSH | 3-4-283 | COMPUTER SCIENCE | 4
Student | Qogoe | M | 1967/5/25 | BQD 931 AATBDV | 3-6-963 | COMPUTER SCIENCE | 3
Student | Ymvrn | F | 1996/8/15 | CPC 370 POMWNG | 7-3-373 | COMPUTER SCIENCE | 1
Student | Swena | F | 1988/2/31 | ZAG 709 PADAPR | 7-9-136 | COMPUTER SCIENCE | 1
Student | Dtpdo | M | 1998/12/31 | JUR 737 MIAHMD | 6-3-667 | COMPUTER SCIENCE | 2
Student | Jzoqg | M | 1968/2/12 | BTJ 347 JFCFZW | 1-5-229 | COMPUTER SCIENCE | 3
Student | Eroul | F | 1969/5/23 | ZWM 130 MHJBDT | 3-6-939 | COMPUTER SCIENCE | 4
Student | Dihhm | M | 1996/4/25 | OEI 268 DBHNJA | 7-8-1076 | COMPUTER SCIENCE | 3
Student | Exzlp | F | 1966/5/5 | REH 745 YMDFXM | 8-2-600 | COMPUTER SCIENCE | 3
Student | Hngjg | F | 1966/4/18 | ZSI 899 VMYJWG | 7-3-398 | COMPUTER SCIENCE | 2
Student | Zadfc | M | 1999/9/28 | ZYK 1056 EJOSVW | 9-8-480 | COMPUTER SCIENCE | 5
Student | Howvn | M | 1997/12/20 | TIF 304 KFXSBJ | 8-8-418 | COMPUTER SCIENCE | 2
Student | Kwysd | F | 1968/2/2 | TQA 116 HFBZVQ | 7-4-726 | COMPUTER SCIENCE | 3
Student | Bmcqj | M | 1987/5/27 | RKM 609 SXDVZS | 8-3-450 | COMPUTER SCIENCE | 1
Student | Gbdty | F | 1967/5/15 | BMW 861 MTGEZL | 6-5-774 | COMPUTER SCIENCE | 1
Student | Tpabj | M | 1978/8/10 | TCD 308 RQGYAC | 10-1-820 | COMPUTER SCIENCE | 5
Student | Xofjx | M | 1979/12/28 | OKX 860 XCGNER | 9-2-629 | COMPUTER SCIENCE | 5
Student | Dotsd | F | 1998/12/20 | IWU 1077 ILFCCY | 3-4-713 | COMPUTER SCIENCE | 3
Student | Mofrc | F | 1986/11/1 | PZG 826 ESDHOD | 9-2-1030 | COMPUTER SCIENCE | 1
Student | Ewlst | F | 1966/7/18 | QZL 560 PPFVQR | 4-1-765 | COMPUTER SCIENCE | 2
Student | Lhwuq | F | 1976/10/15 | KMR 118 OMXUCA | 1-2-316 | COMPUTER SCIENCE | 3
Student | Cilxs | F | 1988/10/17 | NMT 252 IGCOGC | 10-7-1088 | COMPUTER SCIENCE | 1
Student | Zvsco | M | 1996/9/22 | GKR 782 WOPWYR | 7-7-799 | COMPUTER SCIENCE | 4
Student | Puqyj | F | 1987/5/20 | MSC 326 AHCHPX | 10-9-607 | COMPUTER SCIENCE | 5
Student | Orwek | M | 1986/4/31 | PTM 757 TJDEOF | 10-3-1051 | COMPUTER SCIENCE | 5
Student | Fsrpk | M | 1967/4/8 | WWK 401 YKYLCA | 2-7-945 | COMPUTER SCIENCE | 3
Student | Fhwqp | F | 1967/10/13 | RUZ 150 MCINHW | 10-8-944 | COMPUTER SCIENCE | 2
Student | Qdwid | M | 1996/8/6 | GUF 585 MFNVXV | 7-5-501 | COMPUTER SCIENCE | 3
Student | Dhtkl | M | 1968/9/27 | GHM 657 QYQLKZ | 4-8-526 | COMPUTER SCIENCE | 5
Student | Xtbig | M | 1996/10/4 | IMY 178 UNKRUO | 5-7-762 | COMPUTER SCIENCE | 3
Student | Rxbuj | F | 1977/10/4 | JAI 829 FPMSNE | 1-7-829 | COMPUTER SCIENCE | 4
Student | Sfnpk | M | 1976/4/4 | XNN 772 XVIDZP | 7-4-873 | COMPUTER SCIENCE | 2
Student | Wnduy | F | 1999/12/11 | CLQ 824 ZVAHYB | 10-10-810 | COMPUTER SCIENCE | 1
Student | Wrkvr | M | 1999/9/28 | MLR 366 KPYCGA | 10-10-883 | COMPUTER SCIENCE | 3
Student | Mgvpl | M | 1967/2/3 | XXO 371 INQSEM | 4-8-978 | COMPUTER SCIENCE | 2
Student | Jrfxi | F | 1989/1/29 | ZIB 551 WDFIQO | 3-4-1039 | COMPUTER SCIENCE | 5
Student | Atkne | F | 1978/8/26 | KNZ 678 MTIGKY | 1-3-689 | COMPUTER SCIENCE | 3
Student | Ynnki | F | 1969/3/19 | PEV 369 RHPEKM | 10-1-231 | COMPUTER SCIENCE | 1
Student | Cxnqq | M | 1997/7/12 | HQA 726 XXCSGP | 2-8-733 | COMPUTER SCIENCE | 1
Student | Wcldc | F | 1969/11/21 | CTI 970 RCKGCJ | 10-8-838 | COMPUTER SCIENCE | 2
Student | Bfpaw | F | 1989/8/25 | EVG 599 HEQSXG | 8-8-388 | COMPUTER SCIENCE | 4
Student | Scorv | M | 1979/2/16 | PPU 959 XUKEMI | 9-5-921 | COMPUTER SCIENCE | 5
Student | Qiyjy | M | 1967/3/17 | OAX 281 XIXRPU | 8-7-523 | COMPUTER SCIENCE | 2
Student | Nnbvq | F | 1999/10/1 | TGF 238 HTLEDU | 7-9-812 | COMPUTER SCIENCE | 4
Student | Xsbxr | F | 1978/11/5 | NYU 974 NIGIGI | 10-2-956 | COMPUTER SCIENCE | 3
Student | Eybeg | M | 1977/5/1 | ZFP 858 ANQYCC | 8-3-991 | COMPUTER SCIENCE | 2
Student | Ijqrf | F | 1986/12/15 | DTK 638 SUJZDX | 5-10-1073 | COMPUTER SCIENCE | 4
Student | Fbumy | F | 1998/1/2 | VHA 122 MHYURC | 1-4-425 | COMPUTER SCIENCE | 4
Student | Zqbbc | F | 1969/12/30 | SXJ 296 YOFHXR | 6-5-919 | COMPUTER SCIENCE | 5
Student | Kqusv | F | 1977/10/13 | GUI 1011 KQWOQH | 5-6-690 | COMPUTER SCIENCE | 1
Student | Lvzgt | F | 1986/6/25 | CGG 144 QRTETU | 9-3-942 | COMPUTER SCIENCE | 2
Student | Hdnjc | F | 1979/1/27 | WEK 747 OMFLZD | 5-1-875 | COMPUTER SCIENCE | 2
Student | Pbivd | M | 1989/11/26 | PTN 615 FRHCZL | 1-3-482 | COMPUTER SCIENCE | 3
Student | Catuw | M | 1977/7/9 | QWC 1020 HUOAIR | 8-10-351 | COMPUTER SCIENCE | 4
Student | Jpgzi | M | 1976/8/26 | JMM 516 QPSTGB | 10-7-477 | COMPUTER SCIENCE | 3
Student | Vzics | F | 1968/11/2 | NDU 750 XDFOYB | 7-4-385 | COMPUTER SCIENCE | 1
Student | Hnshx | M | 1969/12/2 | QFI 198 XNMQFT | 8-3-924 | COMPUTER SCIENCE | 2
Student | Tkmun | M | 1977/5/25 | PBY 219 HXSADI | 3-4-375 | COMPUTER SCIENCE | 3
Student | Iqlta | M | 1978/10/1 | YYN 903 QQMNIH | 9-9-718 | COMPUTER SCIENCE | 5
Student | Pigts | M | 1987/8/29 | YJY 624 UUFQTE | 1-4-699 | COMPUTER SCIENCE | 4
Student | Svwoh | M | 1989/6/12 | ZIJ 1037 DSVZGL | 6-1-878 | COMPUTER SCIENCE | 1
Student | Mjtin | M | 1969/6/3 | DZE 763 PDMXWN | 3-2-971 | COMPUTER SCIENCE | 4
Student | Fbllk | M | 1999/4/30 | UBH 684 DSKPXT | 6-5-276 | COMPUTER SCIENCE | 4
Student | Fninc | F | 1986/6/24 | WAN 453 KEHYPQ | 10-7-467 | COMPUTER SCIENCE | 3
Student | Uxsoq | M | 1978/12/7 | EKU 227 JXICUW | 9-8-715 | COMPUTER SCIENCE | 1
Student | Ztzvb | F | 1978/8/30 | EQD 569 LXEVRM | 9-4-740 | COMPUTER SCIENCE | 4
Student | Esmpi | F | 1989/12/2 | MFK 163 ODMZSQ | 10-3-452 | COMPUTER SCIENCE | 4
Student | Xjwrs | M | 1969/11/5 | YME 1050 TPVHEP | 6-1-586 | COMPUTER SCIENCE | 3
Student | Feqaw | F | 1966/11/15 | SZB 146 DMPUFK | 4-7-1060 | COMPUTER SCIENCE | 5
Student | Malme | F | 1969/6/12 | FRH 828 FUQTJG | 4-8-428 | COMPUTER SCIENCE | 1
Student | Wuive | F | 1988/5/28 | PVT 417 JAIQWJ | 9-8-754 | COMPUTER SCIENCE | 5
